event_date,event_name,division,total_rounds,title_fight,fighter_a,fighter_b,odds_a,odds_b,fighter_a_id,fighter_b_id
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Bantamweight,5,0,Mario Bautista,Vinicius Oliveira,1.50,2.55,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Flyweight,3,0,Amir Albazi,Kyoji Horiguchi,3.70,1.26,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Heavyweight,3,0,Jailton Almeida,Rizvan Kuniev,1.64,2.20,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Middleweight,3,0,Michal Oleksiejczuk,Marc-Andre Barriault,1.30,3.40,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Bantamweight,3,0,Jean Matsumoto,Farid Basharat,3.15,1.34,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Women's Strawweight,3,0,Bruna Brasil,Ketlen Souza,2.25,1.62,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Bantamweight,3,0,Said Nurmagomedov,Javid Basharat,2.00,1.70,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Women's Flyweight,3,0,Wang Cong,Eduarda Moura,1.28,3.60,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Bantamweight,3,0,Muin Gafurov,Jakub Wiklacz,1.72,2.10,,
2026-02-08,UFC Fight Night: Bautista vs. Oliveira,Women's Bantamweight,3,0,Priscila Cachoeira,Klaudia Sygula,2.20,1.63,b1e5bcaad32a3cac,
